2023-07-27 10:22:18.017 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-07-27 10:22:18.017 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:22:18.017 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:22:18.017 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
2023-07-27 10:22:18.017 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
2023-07-27 10:22:18.018 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
2023-07-27 10:22:18.019 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
2023-07-27 10:22:18.020 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
2023-07-27 10:22:18.020 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
2023-07-27 10:22:18.020 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
2023-07-27 10:22:18.020 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
2023-07-27 10:22:18.020 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - java.lang.Thread.run(Thread.java:750)
2023-07-27 10:28:44.702 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,27] - 服务器发生异常：Required request body is missing: public com.benewake.saleordersystem.utils.Result<java.util.Map<java.lang.String, java.lang.Object>> com.benewake.saleordersystem.controller.HomeController.login(java.util.Map<java.lang.String, java.lang.Object>,javax.servlet.http.HttpServletResponse)
2023-07-27 10:28:44.703 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.readWithMessageConverters(RequestResponseBodyMethodProcessor.java:161)
2023-07-27 10:28:44.703 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.resolveArgument(RequestResponseBodyMethodProcessor.java:131)
2023-07-27 10:28:44.703 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.resolveArgument(HandlerMethodArgumentResolverComposite.java:121)
2023-07-27 10:28:44.703 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.method.support.InvocableHandlerMethod.getMethodArgumentValues(InvocableHandlerMethod.java:167)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:134)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
2023-07-27 10:28:44.704 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:898)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - javax.servlet.http.HttpServlet.service(HttpServlet.java:626)
2023-07-27 10:28:44.705 [http-nio-8080-exec-1] ERROR c.b.s.c.a.ExceptionAdvice - [handleException,29] - org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
